Country,LifeExpectancyatBirth,GenderLifeGapatBirth,LifeExpectancyat60,GenderLifeGapat60,pctUrbanRate,True
Honduras,71.9,2.5,18.3,1.6,58.4,both
Egypt,71.8,4.5,17.8,2.6,42.8,both
Suriname,71.5,6.1,18.5,4.1,66.1,both
South-East Asia,71.4,3.2,19.1,1.8,,left_only
Azerbaijan,71.4,5.3,17.1,2.7,56.4,both
Indonesia,71.3,3.9,17.9,2.4,56.6,both
Nepal,70.9,3.8,18.0,2.4,20.6,both
India,70.8,2.7,18.8,1.4,34.9,both
Samoa,70.5,2.6,17.9,0.9,17.9,both
Philippines,70.4,6.2,17.8,3.8,47.4,both
São Tomé and Príncipe,70.4,3.2,17.7,1.9,74.4,both
Cambodia,70.1,5.5,17.7,3.2,24.2,both
Eastern Mediterranean,69.7,3.0,18.5,1.5,,left_only
Turkmenistan,69.7,6.5,18.7,3.0,52.5,both
East Timor,69.6,3.5,17.9,2.0,,left_only
Tajikistan,69.5,3.9,16.1,2.1,27.5,both
Myanmar,69.1,6.3,18.1,3.4,31.1,both
Rwanda,69.1,4.3,18.0,2.6,17.4,both
Sudan,69.1,3.2,18.6,1.6,35.3,both
Ethiopia,68.7,3.6,18.4,2.0,21.7,both
Senegal,68.6,3.3,18.1,1.7,48.1,both
Laos,68.5,4.7,17.6,2.6,36.3,both
Mauritania,68.4,0.6,19.0,-0.2,55.3,both
Mongolia,68.1,9.0,16.4,4.3,68.7,both
Fiji,68.0,4.4,16.2,2.6,57.2,both
Comoros,67.4,3.0,18.1,1.4,29.4,both
Tanzania,67.3,3.9,18.2,2.0,35.2,both
Uganda,66.7,6.9,17.7,3.7,25,both
Yemen,66.6,4.5,17.8,1.9,36.6,both
Gabon,66.5,6.1,17.2,4.1,90.1,both
Ghana,66.3,5.5,17.2,3.2,57.3,both
Kenya,66.1,4.7,17.6,3.1,28,both
Djibouti,65.8,3.7,17.8,2.4,78.1,both
Guyana,65.7,6.9,16.6,3.0,26.8,both
Malawi,65.6,6.6,17.2,3.9,17.4,both
Pakistan,69.3,2.1,17.3,1.0,37.2,both
Gambia,65.5,4.3,16.9,2.2,62.6,both
Madagascar,65.3,2.5,16.8,1.2,38.5,both
