Country,LifeExpectancyatBirth,GenderLifeGapatBirth,LifeExpectancyat60,GenderLifeGapat60
Kenya,66.1,4.7,17.6,3.1
Djibouti,65.8,3.7,17.8,2.4
Guyana,65.7,6.9,16.6,3.0
Malawi,65.6,6.6,17.2,3.9
Pakistan,69.3,2.1,17.3,1.0
Gambia,65.5,4.3,16.9,2.2
Madagascar,65.3,2.5,16.8,1.2
Papua New Guinea,65.3,4.0,16.5,2.2
Vanuatu,65.3,5.6,15.7,1.9
Solomon Islands,65.2,5.0,15.5,1.6
Congo,64.7,1.8,16.4,1.4
Namibia,64.6,7.8,17.2,4.6
Africa,64.5,4.2,17.9,2.3
South Africa,65.3,6.1,19.1,3.2
Togo,64.3,5.7,17.0,3.2
Eritrea,64.1,5.8,15.5,2.7
Haiti,64.1,1.5,16.8,0.5
Liberia,64.1,1.8,17.7,0.6
Burundi,63.8,4.6,16.5,2.4
Benin,63.4,4.5,17.4,2.4
Niger,63.3,2.5,17.2,1.2
Afghanistan,63.2,-0.1,15.2,-0.3
Angola,63.1,4.8,17.0,3.2
Micronesia,63.0,5.7,14.7,1.8
Ivory Coast,62.9,5.3,17.1,2.9
Mali,62.8,1.2,17.5,0.3
South Sudan,62.8,4.0,17.8,2.3
Burkina Faso,62.7,5.1,16.8,2.9
Nigeria,62.6,2.9,18.2,1.3
Zambia,62.5,5.9,16.5,3.3
Cameroon,62.4,4.2,17.1,2.5
DR Congo,62.4,4.8,16.6,2.5
Botswana,62.2,6.6,16.2,3.8
Equatorial Guinea,62.2,2.7,17.6,2.3
Guinea,61.0,2.8,16.5,1.6
Sierra Leone,60.8,2.3,17.0,1.0
Zimbabwe,60.7,6.1,15.6,3.4
Guinea-Bissau,60.2,5.6,15.5,2.8
Chad,59.6,3.3,16.5,1.6
Kiribati,59.4,6.7,13.7,2.1
Mozambique,58.1,7.2,15.8,4.5
Eswatini,57.7,9.8,15.1,5.3
Somalia,56.5,5.2,14.5,2.8
Central African Republic,53.1,6.1,13.2,3.6
Lesotho,50.7,6.5,13.4,4.0
