Country,LifeExpectancyatBirth,GenderLifeGapatBirth,LifeExpectancyat60,GenderLifeGapat60,pctUrbanRate,HealthExpenditure
Dominican Republic,72.8,6.4,20.6,3.4,82.5,1018.0
Syria,72.7,3.1,18.7,1.1,55.5,
Tonga,72.6,5.8,19.0,4.2,23.1,355.0
Iraq,72.4,5.1,19.2,3.1,70.9,716.0
Bolivia,72.1,2.0,18.6,1.1,70.1,496.0
Guatemala,72.0,6.0,20.5,2.0,51.8,483.0
Honduras,71.9,2.5,18.3,1.6,58.4,362.0
Egypt,71.8,4.5,17.8,2.6,42.8,614.0
Suriname,71.5,6.1,18.5,4.1,66.1,1180.0
Azerbaijan,71.4,5.3,17.1,2.7,56.4,634.0
Indonesia,71.3,3.9,17.9,2.4,56.6,375.0
Nepal,70.9,3.8,18.0,2.4,20.6,180.0
India,70.8,2.7,18.8,1.4,34.9,275.0
Samoa,70.5,2.6,17.9,0.9,17.9,355.0
Philippines,70.4,6.2,17.8,3.8,47.4,394.0
São Tomé and Príncipe,70.4,3.2,17.7,1.9,74.4,214.0
Cambodia,70.1,5.5,17.7,3.2,24.2,261.0
Turkmenistan,69.7,6.5,18.7,3.0,52.5,1275.0
Tajikistan,69.5,3.9,16.1,2.1,27.5,250.0
Myanmar,69.1,6.3,18.1,3.4,31.1,292.0
Rwanda,69.1,4.3,18.0,2.6,17.4,170.0
Sudan,69.1,3.2,18.6,1.6,35.3,293.0
Ethiopia,68.7,3.6,18.4,2.0,21.7,67.0
Senegal,68.6,3.3,18.1,1.7,48.1,146.0
Laos,68.5,4.7,17.6,2.6,36.3,167.0
Mauritania,68.4,0.6,19.0,-0.2,55.3,190.0
Mongolia,68.1,9.0,16.4,4.3,68.7,519.0
Fiji,68.0,4.4,16.2,2.6,57.2,372.0
Comoros,67.4,3.0,18.1,1.4,29.4,134.0
Tanzania,67.3,3.9,18.2,2.0,35.2,112.0
Uganda,66.7,6.9,17.7,3.7,25.0,139.0
Yemen,66.6,4.5,17.8,1.9,36.6,
Gabon,66.5,6.1,17.2,4.1,90.1,491.0
Ghana,66.3,5.5,17.2,3.2,57.3,168.0
Kenya,66.1,4.7,17.6,3.1,28.0,179.0
Djibouti,65.8,3.7,17.8,2.4,78.1,135.0
Guyana,65.7,6.9,16.6,3.0,26.8,513.0
Malawi,65.6,6.6,17.2,3.9,17.4,120.0
Pakistan,69.3,2.1,17.3,1.0,37.2,178.0
Gambia,65.5,4.3,16.9,2.2,62.6,81.0
Madagascar,65.3,2.5,16.8,1.2,38.5,79.0
Papua New Guinea,65.3,4.0,16.5,2.2,13.3,101.0
Vanuatu,65.3,5.6,15.7,1.9,25.5,109.0
Solomon Islands,65.2,5.0,15.5,1.6,34.9,108.0
Solomon Islands,65.2,5.0,15.5,1.6,24.7,108.0
Congo,64.7,1.8,16.4,1.4,67.8,125.0
Namibia,64.6,7.8,17.2,4.6,52.0,883.0
South Africa,65.3,6.1,19.1,3.2,67.4,1129.0
Togo,64.3,5.7,17.0,3.2,42.8,109.0
Eritrea,64.1,5.8,15.5,2.7,41.3,74.0
Haiti,64.1,1.5,16.8,0.5,57.1,144.0
Liberia,64.1,1.8,17.7,0.6,52.1,12643.0
Burundi,63.8,4.6,16.5,2.4,13.7,66.0
Benin,63.4,4.5,17.4,2.4,48.4,83.0
Niger,63.3,2.5,17.2,1.2,16.6,78.0
Afghanistan,63.2,-0.1,15.2,-0.3,26.0,186.0
Angola,63.1,4.8,17.0,3.2,66.8,165.0
Micronesia,63.0,5.7,14.7,1.8,22.9,414.0
Ivory Coast,62.9,5.3,17.1,2.9,51.7,176.0
Mali,62.8,1.2,17.5,0.3,43.9,90.0
South Sudan,62.8,4.0,17.8,2.3,20.2,114.0
Burkina Faso,62.7,5.1,16.8,2.9,30.6,112.0
Nigeria,62.6,2.9,18.2,1.3,52.0,233.0
Zambia,62.5,5.9,16.5,3.3,44.6,208.0
Cameroon,62.4,4.2,17.1,2.5,57.6,134.0
DR Congo,62.4,4.8,16.6,2.5,45.6,31.0
Botswana,62.2,6.6,16.2,3.8,70.9,1089.0
